,review_id,title,user_review,Happy,Angry,Surprise,Sad,Fear
29,30,Spooky's Jump Scare Mansion,first everything seems alright gotta make rooms nothing carboard cut outs rightwrongwhen first started fine dandy screamed cute ghost popped found green puddlei read note turned around green demon sent deepest pits hell began chasing stumble next fifty rooms blind terrorthe lesson learned today isnever leave house,0.15,0.08,0.23,0.31,0.23
30,31,Spooky's Jump Scare Mansion,disappointed lack options got bored running empty hallways music started making bit uneasy first cardboard ghost made jump little oh crap walls turning blood oh crap shes got knife would crap pants,0.0,0.07,0.5,0.29,0.14
31,32,Spooky's Jump Scare Mansion,game incredible despite title initial appearance game isnt horror title even first scares come across cutely designed cardboard cutouts pop walls walk progress game truly comes changing scenery music overall atmosphere continually put state unease whole host specimens trying scarekill adorable antogonist outstanding sound ability deliver unnerving experience mention fact game free put ths game way lists anyone looking decent horror game,0.16,0.11,0.37,0.21,0.16
32,33,Spooky's Jump Scare Mansion,first started like joke later itgot creepy see thae happy mask salesman majoras mask like nopeavi toatly worth game dont understand dlc free,0.38,0.0,0.12,0.25,0.25
33,34,Spooky's Jump Scare Mansion,spookys house jumpscares horror game sense beating around bush although pretends mockery games rely jumpscares first fifty rooms things quickly take turn sinisterthe game long going rooms tedious task seems room ran easily within seconds slightly special roomsgameplay rather simple get end spookys maze survive whatever lies bowels home new monsters introduced every rooms initial chase sequence begin chasing time perilious adventure always keeping things tense special rooms notes found throughout mansion hinting bigger picture behind spooky housethere two endings giving reason play story least twice obtaining high score cup tea try luck endless mode challenges go far possible mansion monsters many new many old making appearancethe dlc karamari hospitial adds even horror shorter campaign five new monsters avoid tons little secrets hunt downi highly recommend game also check hd remaster like game adds even stuff spookys twisted home,0.02,0.05,0.28,0.23,0.42
34,35,Spooky's Jump Scare Mansion,little gem absolutely pants ly terrifying hear cry surely cutesy graphics couldnt possibly scary right wrong dead wrong ahem soft graphics game uses lull false sense security gaining trust game begins piling atmosphere like dumptruck adumptruck convention first rooms becomes clear cutesy cardboard jumpscares arent thing plagueing journey quickly becomes monstrous hellscape born nightmares game also nods pays homage genres horror even references popular horror games five nights freddys resident evil game isnt long youre coward like youll able play short room bursts youre bored looking spky time pick spookys house jump scares prepare spend lot money new underwear trust youl need,0.0,0.03,0.21,0.21,0.55
35,36,Spooky's Jump Scare Mansion,enjoy many types games horror favorite genre tend critical games claim scary told yesterday game could scary cute clever funny succeed fronts may guffawed im currently taking breather room date ive approximately small heart attacks twice many chuckles id certainly paid since free excuse try,0.24,0.0,0.24,0.18,0.35
36,37,Spooky's Jump Scare Mansion,oh cute horror game perfect late night relaxing gamingoh ok cardboard ok move move nothing fearoh somethings following tiny carboard nooonever ever ever thought sht cadboard ghost prosyou learn wash pants timecarboard ghosts free play game great game simple funconsyou long road ahead cant wash pants yetits must play sale wait free must play,0.19,0.0,0.33,0.1,0.38
37,38,Spooky's Jump Scare Mansion,say scariest free game ive ever played jump scares weakness fair something seems really creepy game despite cute unrealistic canvas gameplay painted sure graphics arent great controls little game still creeped point need break every awhile maybe story told atmosphere either way game good job lot paid games fail actually scare player thought pop outs cute funny running life decided get wasnt focused anyways game extremely good low price nothing get like horror genre want try something different,0.23,0.07,0.33,0.17,0.2
38,39,Spooky's Jump Scare Mansion,well tons fun game right end vv game fantastic ending gameplay cool enemies butmy audio crapped horrible nothing static totally took away spookynessin case spookys without audio boring didnt help audio turned static also however went watched markiplier various youtubers play game great perfect ending perfect game would play audio fixed,0.18,0.05,0.27,0.14,0.36
39,40,Spooky's Jump Scare Mansion,saw famous youtube gaming channel thought give shotbelieve scarier sounds definitely scarier first seemsconcept simple walk rooms trying reach end bu things get tense go onstill havent beat keep dying spot anyways like indie horror games might wanna check,0.0,0.07,0.43,0.07,0.43
40,41,Spooky's Jump Scare Mansion,think dev research objects scare humans may like style graphics game creepiest horror game ever played sound effects scare especially cardboard different level different monsters chase makes game creepy therefore ignore style graphics download game sure wont regret trying although may regret trying scary game horror lovers download nowtips scared turn speaker play,0.0,0.0,0.44,0.11,0.44
41,42,Spooky's Jump Scare Mansion,time gotten game already seen multipul playthroughs game thought knew getting wrongand expensive carpet cleaning bill get excrement floors,0.0,0.0,1.0,0.0,0.0
42,43,Spooky's Jump Scare Mansion,game parodies various horror tropes yet manages sacrier horror games market im looking five nights freddys series get praise even get moveset made main antagonist httpsandvichdeviantartcomartssbmovesetspooky,0.0,0.0,0.33,0.17,0.5
43,44,Spooky's Jump Scare Mansion,one favorite free play games yet went thinking could handle game unfortunately incorrect awesome game scared crap points made laugh love would recommend anyone enjoys exploring creepy old mansions one returns entering,0.27,0.0,0.27,0.2,0.27
44,45,Spooky's Jump Scare Mansion,short game definitely worth time bosses really tedious youre suddenly running trying get next checkpoint die jump scares really fun played someone jumped basically every time youre type fall really fewinsanely creepy moments would play probably gonna get dlc summer sale,0.11,0.05,0.26,0.05,0.53
45,46,Spooky's Jump Scare Mansion,great game title suggests full jumpscares cant describe fun game play friend whos afraid horror pros free addictive fun play alone dark friends dark cons kinda short,0.4,0.07,0.07,0.2,0.27
46,47,Spooky's Jump Scare Mansion,early access reviewthis game great starts cute funny gives cute jumpscares cardboard cut outs feel safe gets creepy im spoiling download watching videos great oh free get,0.5,0.1,0.2,0.0,0.2
47,48,Spooky's Jump Scare Mansion,early access reviewspookys house jump scares worth time free review benchmark game pass worth money worth time play little experience horror genre spookys house jump scares pretty transparent premise theres plenty cute lighthearted moments jump scares thin thread plot goes deeper surface level rooms youll spend time wandering room room taking less second move one many repeated corridors enemies spaced well enough keep interested sometimes bit underwhelming however couple genuinely scary moments game enough charm may want stick around see allif youre looking simple jump scares game covered youre interested horror game mechanics boileddown scenario check,0.2,0.0,0.23,0.14,0.43
48,49,Spooky's Jump Scare Mansion,early access reviewto ensure sanity every time card boardcut pops run kiss bout game would ay one scariest games ever seen would give heart problems u easily scared recomend u deffinitly play game,0.0,0.0,0.1,0.3,0.6
49,50,Spooky's Jump Scare Mansion,game basically trying tell us jumpscares really creepy matter creepy face like one scary maze game ing cute pumpkin walk around room room suddenly ing cardboard cute slime appears face boom need new pants well becomes really scary creepy dead ladies want eat start following forever advice situation never look back run life try stop scream little cute ghost cardboards fun,0.18,0.0,0.18,0.09,0.55
50,51,Spooky's Jump Scare Mansion,okayish game really boring beginning pretty creepy pretty fun also got room something around really creepy classroom witch highlight game probably farthest ive gotten,0.27,0.0,0.18,0.09,0.45
51,52,Spooky's Jump Scare Mansion,interesting scheme starts like childs spook park later changes adult realityi would recommend game decent scare style calm insanityboo,0.4,0.0,0.2,0.0,0.4
52,53,Spooky's Jump Scare Mansion,early access reviewthis game really well made fun offers intense spooky experience game great one fave games played recently glad heard got play says hours record convinced friend download played whole thing one sitting agree style great game tried please play fun spooky unheard,0.35,0.0,0.18,0.12,0.35
53,54,Spooky's Jump Scare Mansion,running hall avoid chased ghost girlturn cornercardboard cutout skeleton appears almost causing heart attackbarely escape room thanks cardboard would cardboard,0.0,0.0,0.0,0.5,0.5
54,55,Spooky's Jump Scare Mansion,game lot endearing charm game manages adorable threateing time admittedly scares game actually come really unthreatening things like cups coffee pieces toast goes show atmosphere plays key role horror dont need actually scary person edge,0.19,0.0,0.31,0.25,0.25
55,56,Spooky's Jump Scare Mansion,scared much worth first thought happy game title screen soundtrack brother told happy gameand notat allbye guess,0.2,0.0,0.4,0.2,0.2
56,57,Spooky's Jump Scare Mansion,amazing dthis game scary way make laugh yourselftry music changes time better look back see waht youre running fromthen suddenly gets spooked cute cardboard ghostno spoilers check game free basically run anything even potato make think recommanded specs prank self,0.17,0.0,0.42,0.17,0.25
57,58,Spooky's Jump Scare Mansion,early access reviewthis free game contains quality originality fun half full priced horror games ive playedyeah jumpscare parade theyre presented wellpaced well structured maner plus self aware knows wants accomplish excelently spots acts clever send horror games remaining engaging one itselfalso carrie still best ghost spooky close second,0.21,0.07,0.21,0.14,0.36
58,59,Spooky's Jump Scare Mansion,spookys house jumpscaresspoiler alert sorry download make sure know followingit stared cute funny gamegot jumpscared cute thingsthen room saw weirdthat scared theout metrue storysaw puddlesthought slow downtehn weirdalien motherfuer xenomorph starts commin thembambi become creepypasta nightmaresome weird dude knife started chasing meoh know little mermaidwell mermaid isnt littleor cuteit consume freaking soulstuff needloud headphonesgood monitorsense humorsense knowing video games arent realisticand pack underwearwhyyoullbricks wouldbricks againsee ign approved,0.33,0.0,0.11,0.33,0.22
59,60,Spooky's Jump Scare Mansion,love game adorable cute scary time even used shout series youtube channel httpswwwyoutubecomwatchvvlivwpfqw definitely worth play ppl,0.38,0.0,0.12,0.0,0.5
60,61,Spooky's Jump Scare Mansion,wouldnt necesarily say recomend game fully gameplay basic progression going room room gets old terrifying game hardened horror fanatics got time kill fun distraction short burststhe game emersive ambience well done sound design alone really makes feel like youre trapped miles ground endless maze humor entertaining quirky probably strongest point game jumpscares name sake arent main point horror instead theyre really kind joke game real threat shows actually doesnt resort jumpscares monsters varried enough keep suspensful youre locked chasethe downside get old really fast basically walk room room every youll read notes parody ones cliche horror games jumpscares get sillier sometimes feel like real chore play game long periods real interest go back find get good ending really want spend money dlc kind fun switch every want something spooky spooky,0.16,0.02,0.33,0.16,0.33
61,62,Spooky's Jump Scare Mansion,really appreciate game free amazing games ive played super expensive fact free blows mind lot features stuff,0.3,0.1,0.4,0.1,0.1
62,63,Spooky's Jump Scare Mansion,ever got scared cute things nothen play thiswell watch itll getting scarier scarier room things youll fear playing green ooze floor clicking noises behind narrow long hallway japanese schools kyuubey obviously cryaotics face backstabber like friends haha oh dear god youll never see way dear pun intended mcd probably good thing xd beef mcnope never run stamina sound splashing waterits free dont try,0.19,0.0,0.43,0.14,0.24
63,64,Spooky's Jump Scare Mansion,game may scariest good way jump scaring like cardboard cut outs oothe game alot fun play almost rooms random orders play though game come across different monsters different times mixes things play throughtheir nice variety monsters game alot different things try kill youthis game bit funny story go along spooksthe sounds game good even better headphonesoverall game alot fun think anyone likes play horror games give game try think would enjoy art style game fits well recommend using headphones make even funi would give game even,0.23,0.03,0.29,0.13,0.32
64,65,Spooky's Jump Scare Mansion,fun horror game neat concept looks cute first keep playing youll see cute im level game gave spooks would recommend one likes horror games also free,0.4,0.0,0.3,0.0,0.3
65,66,Spooky's Jump Scare Mansion,beefspookys house jumpscares probably one favorite horror games theres ton references horrorgamesim someone whos easily spooked friends certainly enjoyed hearing screams panic cutest little squid pops screen also enjoyed screams bunch friends way recommend anyone make friend play house screensharing callsome enemies actually challenging thought took quite till beat final boss must say im really pro gamer thoughand completely free,0.32,0.0,0.32,0.05,0.32
66,67,Spooky's Jump Scare Mansion,early access reviewi keep rushing thinking im going dead staying room long one room supposed check slimy thing slows downthen green man came nearly diedgreat game graphics charming way jumpscares numerous cardboard flaps man give scare dont fooled cute looks first surprisingly gives horrori would definitely play truth though im easily scared keep rushing nearest door got pc part catdos didnt read everything thought time exit program ill deadi wish balls steel,0.15,0.04,0.23,0.15,0.42
67,68,Spooky's Jump Scare Mansion,start would like make two things perfectly clear first hate jump scares live name scare second dont really care lets play videos said something positive feedback game received made want play hey certain multiholiday musical told us lifes fun without good scare tried disappointed jump scares good noped second specimen promptly pulled lets play video desperately wanted see rest game plan going back facing fears want play restthis game blends cutesy artwork characters horror amazing way mention obvious references homages horror games fun references well might long graphics might cutting edge definitely keep entertained,0.09,0.07,0.25,0.27,0.32
68,69,Spooky's Jump Scare Mansion,searching games internet found girl said super cute theres meets eye free heck downloaded tested gamers think average game friggin scariest game timeps youve got heart conditions dont play ever,0.22,0.0,0.44,0.11,0.22
69,70,Spooky's Jump Scare Mansion,early access reviewi ventured depths fun little mystery quite large amount spooks came across messed picture kyubey madoka magica,0.2,0.2,0.2,0.0,0.4
70,71,Spooky's Jump Scare Mansion,running life simulator crank volume fun dont get good scare threeand think youve made past jumps much deadly scares nightmares crawling rear room red haze theyre backthose damn maze rooms thats always friend get butchered damn controls least heal little every second stand fighting chance floor floor made way room eating last timepick free game looks straight surprisingly creepy,0.15,0.07,0.15,0.26,0.37
71,72,Spooky's Jump Scare Mansion,first like well kinda cute scary though rooms later shouldnt playing alone oo crawls covers dont judge game youve actually played give chance show store,0.08,0.0,0.17,0.17,0.58
72,73,Spooky's Jump Scare Mansion,spooky like crazy ex girlfriend cant get adn wants stay forever normal mansion shouldnt creepy creepy wouldmyself kawaii spider,0.0,0.25,0.0,0.0,0.75
73,74,Spooky's Jump Scare Mansion,early access reviewits awsome far playin horror games bug found end give choice keep stop click stop ended arcade room besides thought greatnote way dificulty,0.0,0.12,0.25,0.0,0.62
74,75,Spooky's Jump Scare Mansion,early access reviewyou know getting chased hallway demon made meat hit actually scared cheap jumpscares lame scare tactics actual legitimate buildup payoff although may look spookys house amazing game actually shows true horror still alive even though still quite jumpscares xd plus actually fun intense boss battle spoilers pretty funny payoff would definitely reccomend anyone fan intense chases,0.12,0.06,0.44,0.19,0.19
75,76,Spooky's Jump Scare Mansion,note dont want long winded review wish see proscons game scroll paste wall text however want personal experience feel free readnow little time game keep noted however ive enough time proper review first impressions game starts fun joke cute jump scares however mood quickly turns grim game succeed graphical appearance however audio ambience overhear quickly makes game looks like something company threw together however go monster announced introduce new concepts via different room layouts quickly makes lack looks well polished audio well design first impressions game within first rooms joke game dull already audio started tugging back mind paused first time creative surprise spooky casually smiling static screen reason mention well done concept honestly say caught guard little things stick back mind youre going room room pulled curiosity leaves say game definitely great one design use simple concepts makes good experience last thing ill mention liked made stand horror games right introduces player dive house horror makes fact directly introduced meaning isnt dull protagonist youre hiding behindpros audiosfx well polished well useddesign different ive encountered past well well thoughtit slowly takes deeper horror leads climactic build well done experiencegives nostalgic vibe room designs well environmentthe game free play well done fp game thatconsmovement quite odd clunky segmentsdoes take kindly players lower dpi textures bland reused makes dull expirience till climax however minorly impacts gamelack pull factors spooky curiosity arguably ambiencemixed factorsvoice acting double edged sword one hand cute well presented wasnt executed properly personally enjoyed others could turned away game presentationoverall ratingssfxaudio design voice acting gameplay character introduction graphictexture rating overal rating keep mind fp gamei know rating doesnt make seem like must play game however free well designed worth try least would recommend game anyone friends heartbeat keep mind though game immerses via audio cues well climactic build factors interest youre looking fast paced action game likely going something enjoy,0.17,0.04,0.36,0.21,0.23
76,77,Spooky's Jump Scare Mansion,prosanxiaty inducing gameplay horror game interesting visual style good comical momentslots jump scaresconswalking simulatori really game moving room room running misc badies perhaps puzzles obsticals increase difficulty slower monsters fallowing however spookys house jump scares great interesting enough keep captivated long periods time,0.31,0.0,0.38,0.06,0.25
